"Id","Value","DisplayName","Description"
"45583558-1113-4d06-8969-e79a28edc9ad","ApprovalSolution.ReadWrite.All","Read all approvals and manage approval subscriptions","Allows the app to read all approvals and create, update, or remove approval item subscriptions, without a signed-in user."
"93283d0a-6322-4fa8-966b-8c121624760d","AttackSimulation.Read.All","Read attack simulation data of an organization","Allows the app to read attack simulation and training data for an organization without a signed-in user."
"e125258e-8c8a-42a8-8f55-ab502afa52f3","AttackSimulation.ReadWrite.All","Read, create, and update all attack simulation data of an organization","Allows the app to read, create, and update attack simulation and training data for an organization without a signed-in user."
"99bc85fb-e857-4220-9f8c-3a1c83148d2e","AuditActivity.Read","Read activity audit log from the audit store.","Read activity audit log from the audit store."
"f6318678-2713-4bb6-b123-233e7336c1bd","AuditActivity.Write","Upload activity audit logs to the audit store.","Allows the application to upload bulk activity audit logs to the audit store."
"b0afded3-3588-46d8-8b3d-9842eff778da","AuditLog.Read.All","Read all audit log data","Allows the app to read and query your audit log activities, without a signed-in user."
"20e6f8e4-ffac-4cf7-82f7-70ddb7564318","AuditLogsQuery-CRM.Read.All","Read audit logs data from Dynamics CRM workload","Allows the app to read and query audit logs from Dynamics CRM workload, without a signed-in user"
"0bc85aed-7b0b-437a-bac8-3b29a1b84c99","AuditLogsQuery-Endpoint.Read.All","Read audit logs data from Endpoint Data Loss Prevention workload","Allows the app to read and query audit logs from Endpoint Data Loss Prevention workload, without a signed-in user"
"7276d950-48fc-4269-8348-f22f2bb296d0","AuditLogsQuery-Entra.Read.All","Read audit logs data from Entra (Azure AD) workload","Allows the app to read and query audit logs from Entra (Azure AD) workload, without a signed-in user"
"6b0d2622-d34e-4470-935b-b96550e5ca8d","AuditLogsQuery-Exchange.Read.All","Read audit logs data from Exchange workload","Allows the app to read and query audit logs from Exchange workload, without a signed-in user"
"8a169a81-841c-45fd-ad43-96aede8801a0","AuditLogsQuery-OneDrive.Read.All","Read audit logs data from OneDrive workload","Allows the app to read and query audit logs from OneDrive workload, without a signed-in user"
"91c64a47-a524-4fce-9bf3-3d569a344ecf","AuditLogsQuery-SharePoint.Read.All","Read audit logs data from SharePoint workload","Allows the app to read and query audit logs from SharePoint workload, without a signed-in user"
"5e1e9171-754d-478c-812c-f1755a9a4c2d","AuditLogsQuery.Read.All","Read audit logs data from all services","Allows the app to read and query audit logs from all services."
"381f742f-e1f8-4309-b4ab-e3d91ae4c5c1","AuthenticationContext.Read.All","Read all authentication context information","Allows the app to read the authentication context information in your organization without a signed-in user."
"a88eef72-fed0-4bf7-a2a9-f19df33f8b83","AuthenticationContext.ReadWrite.All","Read and write all authentication context information","Allows the app to read and update the authentication context information in your organization without a signed-in user."
"5fbb5982-3230-4882-93c0-2167523ce0c2","BackupRestore-Configuration.Read.All","Read all backup configuration policies","Allows the app to read all backup configurations, and lists of Microsoft 365 service resources to be backed-up, without a signed-in user."
"18133149-5489-40ac-80f0-4b6fa85f6cdc","BackupRestore-Configuration.ReadWrite.All","Read and edit all backup configuration policies","Allows the app to read and update the backup configuration, and list of Microsoft 365 service resources to be backed-up, without a signed-in user."
"6fe20a79-0e15-45a1-b019-834c125993a0","BackupRestore-Control.Read.All","Read the status of the M365 backup service","Allows the app to read the status of M365 backup service (enable/disable), without signed in user"
"fb240865-88f8-4a1d-923f-98dbc7920860","BackupRestore-Control.ReadWrite.All","Update or read the status of the M365 backup service","Allows the app to update or read the status of M365 backup service (enable/disable), without signed in user"
"ecae8511-f2d7-4be4-bdbf-91f244d45986","BackupRestore-Monitor.Read.All","Read all monitoring, quota and billing information for the tenant","Allows the app to monitor all backup and restore jobs, view quota usage and billing details, without a signed-in user."
"87853aa5-0372-4710-b34b-cef27bb7156e","BackupRestore-Restore.Read.All","Read all restore sessions","Allows the app to read all restore sessions, without a signed-in user."
"bebd0841-a3d8-4313-a51d-731112c8ee41","BackupRestore-Restore.ReadWrite.All","Read restore all sessions and start restore sessions from backups","Allows the app to search all backup snapshots for Microsoft 365 resources, and restore Microsoft 365 resources from a backed-up snapshot, without a signed-in user."
"f6135c51-c766-4be1-9638-ed90c2ed2443","BackupRestore-Search.Read.All","Search for metadata properties in all backup snapshots","Allows the app to search all backup snapshots for Microsoft 365 resources, without a signed-in user."
"9e8be751-7eee-4c09-bcfd-d64f6b087fd8","BillingConfiguration.ReadWrite.All","Read and write application billing configuration","Allows the app to read and write the billing configuration on all applications without a signed-in user."
"57f1cf28-c0c4-4ec3-9a30-19a2eaaf2f6e","BitlockerKey.Read.All","Read all BitLocker keys","Allows an app to read BitLocker keys for all devices, without a signed-in user. Allows read of the recovery key."
"f690d423-6b29-4d04-98c6-694c42282419","BitlockerKey.ReadBasic.All","Read all BitLocker keys basic information","Allows an app to read basic BitLocker key properties for all devices, without a signed-in user. Does not allow read of the recovery key."
"6b22000a-1228-42ec-88db-b8c00399aecb","Bookings.Manage.All","Manage bookings information","Allows an app to read, write and manage bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user."
"6e98f277-b046-4193-a4f2-6bf6a78cd491","Bookings.Read.All","Read all Bookings related resources.","Allows an app to read Bookings appointments, businesses, customers, services, and staff without a signed-in user.  "
"0c4b2d20-7919-468d-8668-c54b09d4dee8","Bookings.ReadWrite.All","Read and write bookings information","Allows an app to read and write bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user. Does not allow create, delete and publish of booking businesses."
"9769393e-5a9f-4302-9e3d-7e018ecb64a7","BookingsAppointment.ReadWrite.All","Read and write all Bookings related resources.","Allows an app to read and write Bookings appointments and customers, and additionally allows reading businesses, services, and staff without a signed-in user."
"be95e614-8ef3-49eb-8464-1c9503433b86","Bookmark.Read.All","Read all bookmarks","Allows an app to read all bookmarks without a signed-in user."
"c5ee1f21-fc7f-4937-9af0-c91648ff9597","BrowserSiteLists.Read.All","Read all browser site lists for your organization","Allows an app to read all browser site lists configured for your organization, without a signed-in user."
"8349ca94-3061-44d5-9bfb-33774ea5e4f9","BrowserSiteLists.ReadWrite.All","Read and write all browser site lists for your organization","Allows an app to read and write all browser site lists configured for your organization, without a signed-in user."
"acc0fc4d-2cd6-4194-8700-1768d8423d86","BusinessScenarioConfig.Read.OwnedBy","Read all business scenario configurations this app creates or owns","Allows the app to read the configurations of business scenarios it owns, without a signed-in user."
"bbea195a-4c47-4a4f-bff2-cba399e11698","BusinessScenarioConfig.ReadWrite.OwnedBy","Read and write all business scenario configurations this app creates or owns","Allows the app to create new business scenarios and fully manage the configurations of scenarios it owns, without a signed-in user."
"6c0257fd-cffe-415b-8239-2d0d70fdaa9c","BusinessScenarioData.Read.OwnedBy","Read data for all business scenarios this app creates or owns","Allows the app to read the data associated with the business scenarios it owns, without a signed-in user."
"f2d21f22-5d80-499e-91cc-0a8a4ce16f54","BusinessScenarioData.ReadWrite.OwnedBy","Read and write data for all business scenarios this app creates or owns","Allows the app to fully manage the data associated with the business scenarios it owns, without a signed-in user."
"798ee544-9d2d-430c-a058-570e29e34338","Calendars.Read","Read calendars in all mailboxes","Allows the app to read events of all calendars without a signed-in user."
"8ba4a692-bc31-4128-9094-475872af8a53","Calendars.ReadBasic.All","Read basic details of calendars in all mailboxes ","Allows the app to read events of all calendars, except for properties such as body, attachments, and extensions, without a signed-in user."
"ef54d2bf-783f-4e0f-bca1-3210c0444d99","Calendars.ReadWrite","Read and write calendars in all mailboxes","Allows the app to create, read, update, and delete events of all calendars without a signed-in user."
"5aa33e77-b893-495e-bdc5-4bf6f27d42a0","CallDelegation.Read.All","Read delegation settings","Allows the app to read delegation settings of you"
"8d06abce-e69b-4122-ba60-4f901bb1db2f","CallDelegation.ReadWrite.All","Read and write delegation settings","Allows the app to read and write delegation settings of you"
"f0a35f91-2aa6-4a99-9d5a-5b6bcb66204e","CallEvents-Emergency.Read.All","Read all emergency call events","Allows the app to read emergency call event information for all users in your organization without a signed-in user."
"1abb026f-7572-49f6-9ddd-ad61cbba181e","CallEvents.Read.All","Read all call events","Allows the app to read call event information for all users in your organization, without a signed-in user."
"a2611786-80b3-417e-adaa-707d4261a5f0","CallRecord-PstnCalls.Read.All","Read PSTN and direct routing call log data","Allows the app to read all PSTN and direct routing call log data without a signed-in user."
"45bbb07e-7321-4fd7-a8f6-3ff27e6a81c8","CallRecords.Read.All","Read all call records","Allows the app to read call records for all calls and online meetings without a signed-in user."
"a7a681dc-756e-4909-b988-f160edc6655f","Calls.AccessMedia.All","Access media streams in a call as an app","Allows the app to get direct access to media streams in a call, without a signed-in user."
"284383ee-7f6e-4e40-a2a8-e85dcb029101","Calls.Initiate.All","Initiate outgoing 1 to 1 calls from the app","Allows the app to place outbound calls to a single user and transfer calls to users in your organization’s directory, without a signed-in user."
"4c277553-8a09-487b-8023-29ee378d8324","Calls.InitiateGroupCall.All","Initiate outgoing group calls from the app","Allows the app to place outbound calls to multiple users and add participants to meetings in your organization, without a signed-in user."
"f6b49018-60ab-4f81-83bd-22caeabfed2d","Calls.JoinGroupCall.All","Join group calls and meetings as an app","Allows the app to join group calls and scheduled meetings in your organization, without a signed-in user.  The app will be joined with the privileges of a directory user to meetings in your organization."
"fd7ccf6b-3d28-418b-9701-cd10f5cd2fd4","Calls.JoinGroupCallAsGuest.All","Join group calls and meetings as a guest","Allows the app to anonymously join group calls and scheduled meetings in your organization, without a signed-in user.  The app will be joined as a guest to meetings in your organization."
"418dae40-2b65-4819-900c-519a04e4d278","ChangeManagement.Read.All","Read Change Management items","Allows to read all Change Management items."
"f3a65bd4-b703-46df-8f7e-0174fea562aa","Channel.Create","Create channels","Create channels in any team, without a signed-in user."
"6a118a39-1227-45d4-af0c-ea7b40d210bc","Channel.Delete.All","Delete channels","Delete channels in any team, without a signed-in user."
"59a6b24b-4225-4393-8165-ebaec5f55d7a","Channel.ReadBasic.All","Read the names and descriptions  of all channels","Read all channel names and channel descriptions, without a signed-in user."
"3b55498e-47ec-484f-8136-9013221c06a9","ChannelMember.Read.All","Read the members of all channels","Read the members of all channels, without a signed-in user."
"35930dcf-aceb-4bd1-b99a-8ffed403c974","ChannelMember.ReadWrite.All","Add and remove members from all channels","Add and remove members from all channels, without a signed-in user. Also allows changing a member's role, for example from owner to non-owner."
"7b2449af-6ccd-4f4d-9f78-e550c193f0d1","ChannelMessage.Read.All","Read all channel messages","Allows the app to read all channel messages in Microsoft Teams"
"4d02b0cc-d90b-441f-8d82-4fb55c34d6bb","ChannelMessage.UpdatePolicyViolation.All","Flag channel messages for violating policy","Allows the app to update Microsoft Teams channel messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing."
"c97b873f-f59f-49aa-8a0e-52b32d762124","ChannelSettings.Read.All","Read the names, descriptions, and settings of all channels","Read all channel names, channel descriptions, and channel settings, without a signed-in user."
"243cded2-bd16-4fd6-a953-ff8177894c3d","ChannelSettings.ReadWrite.All","Read and write the names, descriptions, and settings of all channels","Read and write the names, descriptions, and settings of all channels, without a signed-in user."
"d9c48af6-9ad9-47ad-82c3-63757137b9af","Chat.Create","Create chats","Allows the app to create chats without a signed-in user. "
"9c7abde0-eacd-4319-bf9e-35994b1a1717","Chat.ManageDeletion.All","Delete and recover deleted chats","Allows the app to delete and recover deleted chats, without a signed-in user."
"6b7d71aa-70aa-4810-a8d9-5d9fb2830017","Chat.Read.All","Read all chat messages","Allows the app to read all 1-to-1 or group chat messages in Microsoft Teams."
"1c1b4c8e-3cc7-4c58-8470-9b92c9d5848b","Chat.Read.WhereInstalled","Read all chat messages for chats where the associated Teams application is installed.","Allows the app to read all one-to-one or group chat messages in Microsoft Teams for chats where the associated Teams application is installed, without a signed-in user."
"b2e060da-3baf-4687-9611-f4ebc0f0cbde","Chat.ReadBasic.All","Read names and members of all chat threads","Read names and members of all one-to-one and group chats in Microsoft Teams, without a signed-in user."
"818ba5bd-5b3e-4fe0-bbe6-aa4686669073","Chat.ReadBasic.WhereInstalled","Read names and members of all chat threads where the associated Teams application is installed.","Allows the app to read names and members of all one-to-one and group chats in Microsoft Teams where the associated Teams application is installed, without a signed-in user."
"294ce7c9-31ba-490a-ad7d-97a7d075e4ed","Chat.ReadWrite.All","Read and write all chat messages","Allows an app to read and write all chat messages in Microsoft Teams, without a signed-in user."
"ad73ce80-f3cd-40ce-b325-df12c33df713","Chat.ReadWrite.WhereInstalled","Read and write all chat messages for chats where the associated Teams application is installed.","Allows the app to read and write all chat messages in Microsoft Teams for chats where the associated Teams application is installed, without a signed-in user."
"7e847308-e030-4183-9899-5235d7270f58","Chat.UpdatePolicyViolation.All","Flag chat messages for violating policy","Allows the app to update Microsoft Teams 1-to-1 or group chat messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing."
"a3410be2-8e48-4f32-8454-c29a7465209d","ChatMember.Read.All","Read the members of all chats","Read the members of all chats, without a signed-in user."
"93e7c9e4-54c5-4a41-b796-f2a5adaacda7","ChatMember.Read.WhereInstalled","Read the members of all chats where the associated Teams application is installed.","Allows the app to read the members of all chats where the associated Teams application is installed, without a signed-in user."
"57257249-34ce-4810-a8a2-a03adf0c5693","ChatMember.ReadWrite.All","Add and remove members from all chats","Add and remove members from all chats, without a signed-in user."
"e32c2cd9-0124-4e44-88fc-772cd98afbdb","ChatMember.ReadWrite.WhereInstalled","Add and remove members from all chats where the associated Teams application is installed.","Allows the app to add and remove members from all chats where the associated Teams application is installed, without a signed-in user."
"b9bb2381-47a4-46cd-aafb-00cb12f68504","ChatMessage.Read.All","Read all chat messages","Allows the app to read all one-to-one and group chats messages in Microsoft Teams, without a signed-in user."
"64a59178-dad3-4673-89db-84fdcd622fec","CloudApp-Discovery.Read.All","Read all discovered cloud applications data","Allows the app to read all details of discovered cloud apps in the organization, without a signed-in user."
"a9e09520-8ed4-4cde-838e-4fdea192c227","CloudPC.Read.All","Read Cloud PCs","Allows the app to read the properties of Cloud PCs, without a signed-in user."
"3b4349e1-8cf5-45a3-95b7-69d1751d3e6a","CloudPC.ReadWrite.All","Read and write Cloud PCs","Allows the app to read and write the properties of Cloud PCs, without a signed-in user."
"407f0cce-3212-441f-9f55-3bc91342cf86","Community.Read.All","Read all Viva Engage communities","Allows the app to list Viva Engage communities, and to read their properties without a signed-in user."
"35d59e32-eab5-4553-9345-abb62b4c703c","Community.ReadWrite.All","Read and write all Viva Engage communities","Allows the app to create Viva Engage communities, read all community properties, update community properties, and delete communities without a signed-in user."
"aca929ec-9830-44dc-bda1-85cf938aaa95","ConfigurationMonitoring.Read.All","Read all Configuration Monitoring entities","Allows the app to read all Configuration Monitoring entities, without a signed-in user."
"cfa85bfb-2ee8-4e13-8e7f-489e57a015a1","ConfigurationMonitoring.ReadWrite.All","Read and write all Configuration Monitoring entities","Allows the app to read and write all Configuration Monitoring entities, without a signed-in user."
"1260ad83-98fb-4785-abbb-d6cc1806fd41","ConsentRequest.Read.All","Read all consent requests","Allows the app to read consent requests and approvals without a signed-in user."
"9f1b81a7-0223-4428-bfa4-0bcb5535f27d","ConsentRequest.ReadWrite.All","Read and write all consent requests","Allows the app to read app consent requests and approvals, and deny or approve those requests without a signed-in user."
"089fe4d0-434a-44c5-8827-41ba8a0b17f5","Contacts.Read","Read contacts in all mailboxes","Allows the app to read all contacts in all mailboxes without a signed-in user."
"6918b873-d17a-4dc1-b314-35f528134491","Contacts.ReadWrite","Read and write contacts in all mailboxes","Allows the app to create, read, update, and delete all contacts in all mailboxes without a signed-in user."
"5ad511bf-571c-4ef6-8c3c-85b94b85df98","Content.Process.All","Process content for data security, governance and compliance","Allows the app to process and evaluate content for data security, governance and compliance outcomes at tenant scope."
"24ceb246-ad29-4680-90b4-3e91ffad15eb","Content.Process.User","Process content for data security, governance and compliance","Allows the app to process and evaluate content for data security, governance and compliance outcomes for a user."
"368425e7-6954-4f5a-9d92-90b75bd580c9","ContentActivity.Read","Read contents activity audit log from the audit store.","Read contents activity audit log from the audit store."
"2932e07a-3c29-44e4-bb36-6d0fc176387f","ContentActivity.Write","Upload content activity audit logs to the audit store.","Allows the application to upload bulk contents activity audit logs to the audit store."
"cac88765-0581-4025-9725-5ebc13f729ee","CrossTenantInformation.ReadBasic.All","Read cross-tenant basic information","Allows the application to obtain basic tenant information about another target tenant within the Azure AD ecosystem without a signed-in user."
"8b919d44-6192-4f3d-8a3b-f86f8069ae3c","CrossTenantUserProfileSharing.Read.All","Read all shared cross-tenant user profiles and export their data","Allows the application to list and query any shared user profile information associated with the current tenant without a signed-in user.  It also permits the application to export external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant without a signed-in user."
"306785c5-c09b-4ba0-a4ee-023f3da165cb","CrossTenantUserProfileSharing.ReadWrite.All","Read all shared cross-tenant user profiles and export or delete their data","Allows the application to list and query any shared user profile information associated with the current tenant without a signed-in user.  It also permits the application to export and remove external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant without a signed-in user."
"88bb2658-5d9e-454f-aacd-a3933e079526","CustomAuthenticationExtension.Read.All","Read all custom authentication extensions","Allows the app to read your organization's custom authentication extensions without a signed-in user."
"c2667967-7050-4e7e-b059-4cbbb3811d03","CustomAuthenticationExtension.ReadWrite.All","Read and write all custom authentication extensions","Allows the app to read or write your organization's custom authentication extensions without a signed-in user."
"214e810f-fda8-4fd7-a475-29461495eb00","CustomAuthenticationExtension.Receive.Payload","Receive custom authentication extension HTTP requests","Allows custom authentication extensions associated with the app to receive HTTP requests triggered by an authentication event. The request can include information about a user, client and resource service principals, and other information about the authentication."
"673a007a-9e0f-4c97-b066-3c0164486909","CustomDetection.Read.All","Read all custom detection rules","Allows the app to read custom detection rules without a signed-in user."
"e0fd9c8d-a12e-4cc9-9827-20c8c3cd6fb8","CustomDetection.ReadWrite.All","Read and write all custom detection rules","Allows the app to read and write custom detection rules without a signed-in user."
"3b37c5a4-1226-493d-bec3-5d6c6b866f3f","CustomSecAttributeAssignment.Read.All","Read custom security attribute assignments","Allows the app to read custom security attribute assignments for all principals in the tenant without a signed in user."
"de89b5e4-5b8f-48eb-8925-29c2b33bd8bd","CustomSecAttributeAssignment.ReadWrite.All","Read and write custom security attribute assignments","Allows the app to read and write custom security attribute assignments for all principals in the tenant without a signed in user."
"2a4f026d-e829-4e84-bdbf-d981a2703059","CustomSecAttributeAuditLogs.Read.All","Read all custom security attribute audit logs","Allows the app to read all audit logs for events that contain information about custom security attributes, without a signed-in user."
"b185aa14-d8d2-42c1-a685-0f5596613624","CustomSecAttributeDefinition.Read.All","Read custom security attribute definitions","Allows the app to read custom security attribute definitions for the tenant without a signed in user."
"12338004-21f4-4896-bf5e-b75dfaf1016d","CustomSecAttributeDefinition.ReadWrite.All","Read and write custom security attribute definitions","Allows the app to read and write custom security attribute definitions for the tenant without a signed in user."
"9fd1f8bf-a443-4df6-bc2a-5d00c5ec7828","CustomSecAttributeProvisioning.Read.All","Read the provisioning configuration of all active custom security attributes","Allows the app to read the provisioning configuration of all active custom security attributes without a signed-in user."
"1db69e9c-8d0a-498d-a5df-11fd0b68ceab","CustomSecAttributeProvisioning.ReadWrite.All","Read and edit the provisioning configuration of all active custom security attributes","Allows the app to read and edit the provisioning configuration of all active custom security attributes without a signed-in user."
"ab8a5872-7c88-47a6-8141-7becce939190","CustomTags.Read.All","Read all custom tags data","Read custom tags data, without a signed-in user"
"2f503208-e509-4e39-974c-8cc16e5785c9","CustomTags.ReadWrite.All","Read and write custom tags data","Read and write custom tags data, without a signed-in user"
"f6e9e124-4586-492f-adc0-c6f96e4823fd","DelegatedAdminRelationship.Read.All","Read Delegated Admin relationships with customers","Allows the app to read details of delegated admin relationships with customers like access details (that includes roles) and the duration as well as specific role assignments to security groups without a signed-in user."
"cc13eba4-8cd8-44c6-b4d4-f93237adce58","DelegatedAdminRelationship.ReadWrite.All","Manage Delegated Admin relationships with customers","Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers and role assignments to security groups for active Delegated Admin relationships without a signed-in user."
"81b4724a-58aa-41c1-8a55-84ef97466587","DelegatedPermissionGrant.Read.All","Read all delegated permission grants","Allows the app to read all delegated permission grants, without a signed-in user."
"8e8e4742-1d95-4f68-9d56-6ee75648c72a","DelegatedPermissionGrant.ReadWrite.All","Manage all delegated permission grants","Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), without a signed-in user."
"7438b122-aefc-4978-80ed-43db9fcc7715","Device.Read.All","Read all devices","Allows the app to read your organization's devices' configuration information without a signed-in user."
"1138cb37-bd11-4084-a2b7-9f71582aeddb","Device.ReadWrite.All","Read and write devices","Allows the app to read and write all device properties without a signed in user.  Does not allow device creation, device deletion or update of device alternative security identifiers."
"884b599e-4d48-43a5-ba94-15c414d00588","DeviceLocalCredential.Read.All","Read device local credential passwords","Allows the app to read device local credential properties including passwords, without a signed-in user."
"db51be59-e728-414b-b800-e0f010df1a79","DeviceLocalCredential.ReadBasic.All","Read device local credential properties","Allows the app to read device local credential properties excluding passwords, without a signed-in user."
"7a6ee1e7-141e-4cec-ae74-d9db155731ff","DeviceManagementApps.Read.All","Read Microsoft Intune apps","Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user."
"78145de6-330d-4800-a6ce-494ff2d33d07","DeviceManagementApps.ReadWrite.All","Read and write Microsoft Intune apps","Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user."
"315b6e8c-d92a-4691-919d-00ce76d1344a","DeviceManagementCloudCA.Read.All","Read Microsoft Cloud PKI objects","Allows the app to read certification authority information without a signed-in user."
"f15eb2ba-ef8a-4f70-991d-da5d045154e2","DeviceManagementCloudCA.ReadWrite.All","Read and write Microsoft Cloud PKI objects","Allows the app to read and write certification authority information without a signed-in user."
"dc377aa6-52d8-4e23-b271-2a7ae04cedf3","DeviceManagementConfiguration.Read.All","Read Microsoft Intune device configuration and policies","Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user."
"9241abd9-d0e6-425a-bd4f-47ba86e767a4","DeviceManagementConfiguration.ReadWrite.All","Read and write Microsoft Intune device configuration and policies","Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user."
"5b07b0dd-2377-4e44-a38d-703f09a0dc3c","DeviceManagementManagedDevices.PrivilegedOperations.All","Perform user-impacting remote actions on Microsoft Intune devices","Allows the app to perform remote high impact actions such as wiping the device or resetting the passcode on devices managed by Microsoft Intune, without a signed-in user."
"2f51be20-0bb4-4fed-bf7b-db946066c75e","DeviceManagementManagedDevices.Read.All","Read Microsoft Intune devices","Allows the app to read the properties of devices managed by Microsoft Intune, without a signed-in user."
"243333ab-4d21-40cb-a475-36241daa0842","DeviceManagementManagedDevices.ReadWrite.All","Read and write Microsoft Intune devices","Allows the app to read and write the properties of devices managed by Microsoft Intune, without a signed-in user. Does not allow high impact operations such as remote wipe and password reset on the device’s owner"
"58ca0d9a-1575-47e1-a3cb-007ef2e4583b","DeviceManagementRBAC.Read.All","Read Microsoft Intune RBAC settings","Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings, without a signed-in user."
"e330c4f0-4170-414e-a55a-2f022ec2b57b","DeviceManagementRBAC.ReadWrite.All","Read and write Microsoft Intune RBAC settings","Allows the app to read and write the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings, without a signed-in user."
"c7a5be92-2b3d-4540-8a67-c96dcaae8b43","DeviceManagementScripts.Read.All","Read Microsoft Intune Scripts","Allows the app to read Microsoft Intune device compliance scripts, device management scripts, device shell scripts, device custom attribute shell scripts and device health scripts, without a signed-in user."
"9255e99d-faf5-445e-bbf7-cb71482737c4","DeviceManagementScripts.ReadWrite.All","Read and write Microsoft Intune Scripts","Allows the app to read and write Microsoft Intune device compliance scripts, device management scripts, device shell scripts, device custom attribute shell scripts and device health scripts, without a signed-in user."
